Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Class
0,0.438888,0.195534,0.14316,-0.809435,0.261718,-0.349509,0.031425,-1.13689,-0.123005,-0.209795,F
1,-0.06721,-0.43256,-3.210528,-0.875108,0.17234,-0.889332,0.144676,-0.327908,0.095265,-0.765211,A
2,-0.252367,-0.149918,0.313868,-0.243616,0.261718,0.190314,-0.497081,0.081156,-0.403638,0.597381,A
3,0.562327,-0.29909,0.068476,-0.58926,0.976743,0.979286,-1.214339,-2.126007,-1.183175,1.941962,I
4,0.179667,-0.212727,0.132491,-1.306507,0.261718,1.062336,1.088436,0.425508,0.40708,0.440133,A
5,0.117948,0.627349,0.075589,0.831628,0.261718,1.602159,2.409701,-0.742718,-0.497183,0.196511,A
6,-0.079554,0.187683,0.335206,0.745008,0.17234,0.356414,0.144676,0.804981,2.090879,0.487595,X
7,-0.252367,-0.149918,0.313868,-0.243616,0.261718,0.688613,0.597681,-0.189146,0.126447,0.410538,A
8,0.389513,0.376111,0.018686,-0.690978,0.082961,-0.557133,0.069175,-0.070343,-0.029461,-0.404859,A
9,0.377169,-0.079257,0.153829,-1.102952,0.261718,-0.349509,0.031425,0.093252,-0.964905,-0.216895,A
10,-0.264711,-0.126364,0.235627,0.176773,0.261718,0.771662,-0.081827,-0.205726,-1.151994,0.884197,A
11,-0.264711,-0.275537,0.107596,0.827362,0.261718,-0.141884,0.446679,0.809408,0.687713,-0.250722,A
12,-0.314087,-0.236281,0.029355,0.460861,0.261718,0.190314,0.031425,0.160526,0.531806,0.279764,A
13,-3.498799,-0.087108,0.438342,-1.227108,-4.922215,2.432656,-0.232828,-2.809507,-3.708874,2.535098,C
14,0.599358,-0.377602,0.242739,-0.151028,0.976743,0.688613,-0.610333,-0.9851,0.999528,1.19294,I
15,-0.252367,0.093469,0.239183,-0.021441,0.17234,3.844501,0.824183,-1.771366,-1.214356,2.990457,A
16,0.167323,-0.322644,0.306755,-0.543548,0.261718,-0.723232,-0.119577,0.301462,0.001721,-0.474092,F
17,-0.240024,-0.29909,0.694403,0.955725,0.61923,-0.349509,-1.25209,1.68778,1.404887,0.621419,Y
18,0.130292,0.336855,0.100483,0.382834,0.17234,-0.557133,0.333428,-0.223317,-0.65309,-0.56254,A
19,-0.32643,-0.157769,0.424116,1.924954,0.17234,0.730137,0.333428,1.030064,2.028517,0.598526,X
20,-0.116585,0.281897,0.335206,-0.518215,0.082961,-0.10036,0.371178,0.199628,0.001721,-0.166336,D
21,0.192011,-0.03215,0.249852,-0.418765,0.17234,-0.806282,0.182426,0.540272,0.18881,-0.708467,F
22,0.031541,-0.040001,0.175168,-0.107256,0.261718,-0.557133,-0.006326,-0.025668,-0.091823,-0.38158,F
23,0.327793,-0.142067,0.481018,-2.171392,0.261718,0.190314,-0.006326,0.359728,0.438262,0.310071,A
24,0.241386,-0.157769,0.338762,-1.203923,0.261718,-0.474083,-0.044076,-0.178215,-1.245538,-0.301522,A
25,0.15498,-0.448263,0.356544,-0.003837,0.261718,-0.432558,0.484429,0.270281,0.032902,-0.532414,F
26,0.512951,-0.008597,-0.045329,-1.738144,-1.525845,0.024215,0.899684,1.627399,0.500624,-0.337194,A
27,0.056229,0.054213,0.392108,-0.02896,0.261718,-0.01731,0.106925,-0.298901,0.18881,0.061205,H
28,-0.32643,-0.652394,0.384996,-1.694222,-0.185173,-1.512204,0.144676,-1.693859,-0.684271,-1.329463,E
29,-0.104241,-0.456114,0.484575,0.143802,0.261718,-0.640182,0.899684,-0.39658,0.313536,-0.904496,F
30,0.080916,0.062064,0.203619,0.577021,0.261718,-0.058835,0.333428,1.295162,1.186617,-0.107097,H
31,1.019049,0.211237,-0.155578,-0.311855,0.261718,-0.224934,0.295677,0.142683,-0.185368,-0.250324,A
32,-0.030178,-0.189174,0.242739,-0.408799,0.261718,-0.307984,0.371178,-0.683617,-0.43482,-0.343896,F
33,-0.128929,0.383963,0.23207,1.248675,0.261718,-0.141884,0.069175,1.082893,0.001721,-0.041096,A
34,-3.498799,0.674456,0.210732,-1.548822,-4.922215,-0.474083,0.220177,0.526817,0.126447,-0.428053,A
35,-3.498799,16.965662,0.384996,1.655159,-4.922215,-1.636779,-11.935457,2.714875,-3.864781,-6.719324,E
36,-0.314087,0.540986,-0.041773,0.882562,0.261718,0.024215,0.257927,0.618826,0.157628,0.001061,F
37,-0.289399,0.093469,0.402778,-0.087353,-1.436467,-1.553729,0.484429,-2.464651,-2.523978,-1.514196,E
38,-3.498799,-0.754459,0.477462,1.600496,-4.922215,1.394535,0.031425,0.290493,-1.027268,1.424097,X
39,0.327793,-2.426761,0.008017,-0.54498,-0.006417,0.06574,0.52218,-0.192369,0.064084,-0.107615,A
40,0.142636,0.486028,0.025799,0.545422,0.17234,-0.183409,0.106925,1.126947,0.251173,-0.107001,A
41,0.056229,-0.09496,0.228514,-0.658066,0.17234,0.605563,0.861934,-2.576192,-1.806804,0.173751,F
42,-0.215336,0.250492,0.473906,1.187089,0.17234,2.515706,0.257927,-0.726157,0.750076,2.281036,X
43,-0.00549,-0.259834,0.367214,-0.156667,0.261718,0.605563,0.031425,-0.651096,-0.528364,0.664673,F
44,0.130292,-0.275537,0.274747,-0.574878,0.261718,-0.349509,0.408929,-2.205475,-2.243345,-0.413562,A
45,-0.030178,0.014957,0.264078,0.374062,0.261718,0.979286,0.069175,0.408092,0.095265,0.970318,A
46,0.117948,-0.29909,0.473906,-0.204438,0.082961,-1.013906,0.182426,0.689149,0.718895,-0.894442,A
47,0.105604,0.10132,0.246296,0.08708,0.261718,0.688613,-0.195078,0.589063,0.500624,0.877361,A
48,0.019197,-0.118513,0.345875,-1.086511,0.261718,-0.598658,-0.270579,0.422905,0.313536,-0.285308,F
49,-0.16596,-0.267686,0.256965,0.051662,0.261718,1.477585,0.182426,-1.09633,-0.247731,1.36041,A
50,0.352481,0.211237,0.306755,-0.946242,0.17234,0.14879,0.182426,-0.846299,-0.559546,0.169242,A
51,0.031541,0.195534,0.246296,0.627208,0.261718,-0.058835,-0.157328,0.610866,0.687713,0.150184,H
52,0.068573,-1.16272,-3.210528,-0.829367,0.261718,1.43606,1.050686,-1.522208,-1.027268,0.791854,A
53,-0.153617,-0.354049,0.37077,-0.513262,0.261718,-1.138481,-0.044076,-1.007039,-0.65309,-0.897721,F
54,0.09326,-0.055704,0.068476,0.305076,0.261718,0.107265,-2.988609,0.546193,0.001721,-1.455415,A
55,-3.498799,-0.573882,0.356544,0.750648,-4.922215,0.605563,-0.006326,-0.793334,-1.183175,0.674003,A
56,0.130292,-0.456114,0.292529,0.202672,0.261718,1.560634,0.408929,-0.576386,-0.341275,1.283402,A
57,0.661077,-0.204876,-3.075385,0.471036,1.066121,-0.723232,-1.138838,0.346021,2.059698,0.126652,I
58,-0.153617,-0.840822,0.139604,-0.971903,0.17234,-0.806282,0.975185,0.222461,2.059698,-1.066059,X
59,0.57467,-0.134216,0.160942,1.252465,0.976743,-0.557133,-1.214339,1.262369,1.716702,0.353891,I
