Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Class
0,-0.079939,0.354613,-0.063124,0.089625,0.184061,-2.647096,1.173327,-0.186686,-0.739008,-0.610905,0.037684,-0.558736,-0.651023,-0.222960,0
1,-0.737920,0.430881,-0.812198,0.019224,-0.454171,-0.429424,-2.235108,-0.696972,-0.336521,-0.682231,-0.446649,-1.315890,-0.240860,-0.731026,1
2,-0.302237,0.611374,0.079477,-0.486974,0.639469,0.766718,0.053762,0.073309,-0.797266,-0.159344,0.216565,-0.915666,-0.495376,0.140225,1
3,-0.800730,-0.782927,-0.183515,-0.089921,-0.446911,-0.070213,-0.219593,-0.557246,-0.476425,-1.436433,-1.763197,-0.525441,-2.080977,-0.497523,1
4,-0.634297,-0.867442,-0.550285,-0.976223,-1.326290,-1.891806,-0.819061,-1.116515,-1.426026,-1.033928,-1.433267,-1.138397,-1.264594,-0.377940,1
5,-0.672442,-0.207590,-0.407652,-0.321495,0.378582,-0.248205,0.028568,-0.406396,-0.510880,-0.174428,0.191413,0.066289,1.330542,-0.252107,1
6,2.219792,2.032611,4.274370,3.220348,5.006621,3.953971,3.134988,4.361295,3.803625,4.295435,4.431693,4.019979,2.902342,2.869098,1
7,-0.296333,-0.154192,-0.626186,-0.027501,-0.810398,-0.366377,0.454517,-0.987963,-0.091951,0.299479,-0.004232,-1.036688,-0.987739,-0.682324,1
8,-1.481842,0.601438,-1.295721,0.052464,-0.218924,-0.640123,-0.070322,-0.098387,-1.214111,-1.493326,-1.392965,-1.564993,-0.875804,-1.807188,0
9,-0.064493,1.624877,-0.112381,-0.202784,0.012175,0.760658,0.364287,0.412829,0.943711,-0.229999,-0.029490,-0.096081,0.089861,-0.367421,0
10,-0.505479,-0.712761,-0.830543,0.082438,-0.216238,-0.350658,-0.118904,-0.932593,-0.791749,-0.476608,-0.138432,-0.764345,-0.205747,-0.574851,0
11,-2.744091,1.216274,-1.129205,0.257863,-0.236073,0.050196,-0.629338,-1.505937,-2.085052,-1.168265,-3.231378,-2.468638,-3.641322,-2.741555,0
12,1.157551,1.326438,0.759861,0.972311,0.960456,-0.518644,-0.229902,-0.494786,-0.042604,0.245061,0.883070,0.565777,0.909371,0.615354,1
13,1.809527,2.907527,-0.081098,1.701928,0.894539,-0.078594,-0.706311,0.482160,0.404606,0.132288,0.721773,0.637941,0.007396,1.043089,0
14,-0.230559,0.212866,0.172711,-0.854571,0.706972,0.956529,0.656808,0.896610,1.272820,1.596119,0.935577,0.410514,0.560933,0.196470,0
15,-0.831268,0.683389,0.439892,0.427907,2.256650,1.436705,0.580591,0.087695,0.179435,0.066859,-0.253107,-0.658479,-0.476386,-0.968584,0
16,-0.974548,-0.514861,0.210948,-0.457427,-0.162417,1.092971,2.170189,0.414779,1.185656,0.132757,-0.999528,0.366432,-1.378118,-0.943306,1
17,1.079154,-2.785009,-0.245096,-2.490737,-0.918174,-0.749741,1.310528,2.108353,2.791583,2.004912,4.413685,2.832102,4.941414,2.808674,1
18,-0.548425,-0.238769,-0.705111,0.100024,-0.378277,0.027822,-1.100946,0.516029,1.013403,0.346229,-0.662060,-0.121610,-1.335364,-0.754628,1
19,0.026518,0.067565,0.221279,-0.102357,-0.554087,0.283475,-0.647084,0.394337,-0.421913,0.794567,0.072521,0.129386,0.175247,0.431210,1
20,3.253330,2.439539,1.388628,1.284753,0.041788,-0.502247,-0.885518,-1.286718,-1.731549,-1.162175,1.027069,1.850411,2.098184,3.192600,0
21,-0.339273,0.747882,0.260119,-0.215596,-0.302044,-0.168215,-0.366708,0.787256,-0.136308,-0.504612,-0.717674,-0.545993,-1.257365,-0.625782,0
22,-0.799545,-0.584568,-0.126342,-0.023419,-0.988254,0.162817,-0.098896,-0.633952,-0.014914,-0.660522,-0.537666,-0.296007,-0.463978,-0.857562,0
23,-0.254361,0.551291,-0.218268,0.953101,-0.768748,-1.257651,-1.221061,-1.712516,-1.659504,-2.003447,-1.408486,-1.181911,-0.793229,-0.047995,1
24,-0.236393,0.103593,-0.257138,-0.105949,0.757152,0.235184,-0.861633,0.411238,0.176810,-0.181459,0.161469,-0.188642,-0.339885,-0.105364,1
25,-0.057513,-0.540149,-0.997583,0.068776,-1.201984,-1.633095,0.822841,-0.083471,-0.622469,-0.472399,-1.351425,-0.421148,-0.578096,-0.492270,0
26,0.344678,0.305063,1.477819,2.206639,2.555311,2.555883,1.688771,1.934065,2.317668,1.301202,0.268759,1.597467,0.571831,0.362392,1
27,0.625069,0.229344,0.557671,-0.036087,0.187676,0.733659,0.485098,0.965577,0.569702,0.142682,-0.344533,0.292314,0.740960,0.402964,0
28,2.418991,2.499273,4.005753,3.480003,4.612901,5.259470,3.348815,4.450566,3.528701,4.468512,3.876087,4.090173,2.202592,2.545156,0
29,-0.307672,-0.228201,-0.124038,-0.067796,-0.468068,-0.477601,-1.164953,-0.282913,-0.508903,0.113712,0.435663,0.285162,-0.331683,-0.313738,1
30,0.181305,0.217809,-0.561555,0.602776,0.171142,0.413862,-0.788707,0.318635,1.096153,1.295763,0.226461,-0.244923,0.184221,0.394653,1
31,-0.318422,-0.459133,0.557897,-0.555102,-0.649937,1.024085,0.595098,0.362771,-0.020438,0.186157,0.001525,-0.014420,-0.099991,0.080232,1
32,-1.487434,-0.746205,-0.741892,0.562164,-0.365036,-0.576832,-0.454206,-0.356386,-0.699373,-1.231447,-1.152028,-0.858826,-1.344737,-1.200627,0
33,0.117506,-0.480127,0.008501,-0.605695,-1.166349,-1.760898,0.495965,0.420867,-0.303882,-0.118233,-0.307256,-0.348169,-0.267049,0.332237,1
